,Userid,KeyboardType,InputType,Movement,TotalTime,LongestPause,Accuracy
0,p2,normal,symbol,moving,9,5,14
1,p1,zoom,alpha,moving,27,3,94
2,p3,normal,alpha,still,17,2,72
3,p2,zoom,alpha,still,23,2,90
4,p1,normal,symbol,moving,20,7,67
5,p3,normal,symbol,still,17,6,67
6,p3,normal,alpha,still,15,2,76
7,p4,zoom,alpha,moving,28,2,56
8,p1,normal,alpha,still,0,2,74
9,p3,zoom,alpha,moving,28,3,79
10,p1,normal,alpha,still,14,1,63
11,p4,zoom,alpha,moving,42,4,69
12,p3,normal,symbol,still,15,2,43
13,p2,zoom,symbol,still,25,14,67
14,p3,zoom,symbol,still,10,3,80
15,p4,zoom,symbol,still,21,5,100
16,p4,zoom,alpha,still,36,2,100
17,p3,normal,alpha,moving,13,2,38
18,p3,zoom,alpha,still,23,2,91
19,p1,normal,symbol,moving,5,3,20
20,p3,normal,symbol,still,8,4,17
21,p4,zoom,symbol,moving,8,2,27
22,p1,normal,alpha,still,23,1,33
23,p4,normal,alpha,still,10,2,6
24,p3,normal,symbol,moving,4,2,0
25,p1,normal,symbol,still,9,2,50
26,p3,zoom,symbol,still,13,3,93
27,p3,zoom,symbol,moving,27,12,53
28,p4,normal,alpha,still,10,2,6
29,p1,normal,symbol,moving,13,3,13
30,p1,zoom,symbol,still,25,6,100
31,p4,zoom,symbol,moving,18,5,80
32,p4,zoom,alpha,still,28,2,97
33,p3,zoom,alpha,still,31,3,71
34,p1,zoom,symbol,moving,25,16,57
35,p4,zoom,symbol,moving,11,4,27
36,p1,zoom,symbol,moving,15,5,57
37,p4,zoom,symbol,still,21,5,100
38,p4,normal,symbol,still,12,4,88
39,p3,zoom,symbol,moving,58,8,50
40,p1,normal,alpha,still,21,2,65
41,p3,zoom,alpha,moving,22,3,41
42,p3,normal,symbol,moving,8,1,42
43,p1,normal,alpha,still,0,2,29
44,p4,normal,alpha,moving,11,2,17
45,p2,normal,symbol,still,13,6,29
46,p1,zoom,alpha,still,34,3,93
47,p4,zoom,alpha,still,32,2,100
48,p4,normal,symbol,moving,9,2,38
49,p1,zoom,alpha,still,33,2,95
